Date,Time,Species_Name,Age,latitude,longitude,accuracy,Village_Name,Site_Type
20/10/2022,21:17:54,Spectacled Cobra (Naja naja),Adult,22.825618,88.193302,8,Vola,Backyard/ Front Garden
09/10/2022,22:07:56,Common Krait (Bungarus caeruleus),Adult,22.838408,88.184937,3,Kinkarbati,Backyard/ Front Garden
05/10/2022,07:51:39,Checkered Keelback (Fowlea piscator),Adult,22.844049,88.185826,6,Kinkarbati,Backyard/ Front Garden
25/09/2022,17:38:11,Common Wolf Snake (Lycodon aulicus),Adult,22.844707,88.192433,3,Madhusudan pur,Store Room
23/09/2022,11:22:21,Spectacled Cobra (Naja naja),Adult,22.877158,88.216097,3,Mosttikri,Backyard/ Front Garden
15/09/2022,11:44:23,Banded Krait (Bungarus fasciatus),Adult,22.843985,88.178064,6,Kinkarbati,Backyard/ Front Garden
03/09/2022,17:18:53,Common Wolf Snake (Lycodon aulicus),Juvenile,22.818245,88.221188,3,Singur,Backyard/ Front Garden
30/08/2022,23:40:42,Common Krait (Bungarus caeruleus),Adult,22.822564,88.182319,4,Enayetpur,Backyard/ Front Garden
27/08/2022,20:11:09,Common Krait (Bungarus caeruleus),Sub-Adult,,,,"Kinkarbati dakshin para , hooghly",Backyard/ Front Garden
10/08/2022,22:48:10,Spectacled Cobra (Naja naja),Sub-Adult,22.821798,88.111419,4,Haripal Moshai More,Bird Cage
15/07/2022,08:32:41,Monocled Cobra (Naja kaouthia),Adult,22.852636,88.190499,3,Banejomuna,Fishing Net
27/06/2022,21:32:01,Spectacled Cobra (Naja naja),Sub-Adult,22.841943,88.177922,3,Kinkarbati,Kitchen
27/06/2022,20:30:14,Banded Krait (Bungarus fasciatus),Adult,,,,"Kinkarbati kadamtala,hooghly, west bengal",Fishing Net
25/06/2022,21:34:51,Common Wolf Snake (Lycodon aulicus),Sub-Adult,22.649655,88.0885,4,Muncharhat,Store Room
18/06/2022,23:24:23,Banded Krait (Bungarus fasciatus),Juvenile,22.85207,88.169325,3,Delalpur,Backyard/ Front Garden
18/06/2022,17:53:34,Spectacled Cobra (Naja naja),Adult,22.711411,88.172396,4,Chotochughara hooghly,Kitchen
12/06/2022,20:59:07,Banded Krait (Bungarus fasciatus),Juvenile,22.831456,88.168084,5,Moera para,Kitchen
11/06/2022,14:31:50,Spectacled Cobra (Naja naja),Adult,22.771549,88.171406,5,Sripatipur,Bedroom
09/06/2022,20:20:44,Spectacled Cobra (Naja naja),Adult,22.82495,88.173829,4,Kulipada,Backyard/ Front Garden
09/06/2022,12:58:47,Russell's Viper (Daboia russelii),Sub-Adult,22.623816,88.091097,4,Santoshpur,Fishing Net
07/06/2022,13:23:05,Spectacled Cobra (Naja naja),Sub-Adult,22.742403,88.243162,4,Kharsarai,Cow Shed
06/06/2022,14:21:17,Spectacled Cobra (Naja naja),Adult,22.72812,87.954231,4,Gaja,Courtyard
04/06/2022,13:37:32,Spectacled Cobra (Naja naja),Adult,22.862073,88.284472,4,Khanpukur,Cow Shed
01/06/2022,06:20:29,Common Rat Snake (Ptyas mucosa),Adult,22.678935,88.269817,4,Garalgacha,Bedroom
30/05/2022,22:54:18,Spectacled Cobra (Naja naja),Adult,22.753407,88.222271,4,Gangadharpur,Bedroom
29/05/2022,23:55:50,Russell's Viper (Daboia russelii),Adult,22.613607,88.20587,4,Begri,Backyard/ Front Garden
29/05/2022,23:29:05,Russell's Viper (Daboia russelii),Adult,22.636393,88.21658,4,Domjur,Backyard/ Front Garden
25/05/2022,22:50:25,Spectacled Cobra (Naja naja),Adult,22.690855,88.24869,5,Kalachara,Courtyard
25/05/2022,21:12:09,Russell's Viper (Daboia russelii),Sub-Adult,22.74103,88.243936,4,Begampore,Store Room
23/05/2022,23:26:29,Russell's Viper (Daboia russelii),Sub-Adult,22.824265,88.301525,4,Palara,Store Room
22/05/2022,16:57:42,Russell's Viper (Daboia russelii),Sub-Adult,22.649028,88.268073,4,Gayeshpur,Bathroom
21/05/2022,13:09:51,Banded Krait (Bungarus fasciatus),Adult,22.716877,88.323825,4,Bamunari,Fishing Net
19/05/2022,13:29:43,Common Krait (Bungarus caeruleus),Adult,22.712858,87.940718,5,Udaynarayanpur,Bedroom
18/05/2022,22:46:46,Common Rat Snake (Ptyas mucosa),Adult,22.670295,88.312687,4,Raghunathpur,Backyard/ Front Garden
13/05/2022,16:00:18,Common Kukri Snake (Oligodon arnensis),Adult,22.727151,87.952175,4,Udaynarayanpur,Cow Shed
13/05/2022,15:59:00,Spectacled Cobra (Naja naja),Adult,22.727065,87.952192,4,Udaynarayanpur,Cow Shed
13/05/2022,15:52:02,Spectacled Cobra (Naja naja),Adult,22.727087,87.952134,5,Udaynarayanpur,Cow Shed
12/05/2022,08:52:53,Russell's Viper (Daboia russelii),Adult,22.681135,88.27104,4,Garalgacha,Backyard/ Front Garden
11/05/2022,12:56:27,Russell's Viper (Daboia russelii),Adult,22.619292,88.269358,3,Salap,Backyard/ Front Garden
11/05/2022,07:49:07,Russell's Viper (Daboia russelii),Adult,22.689143,88.281223,5,Gobra,Backyard/ Front Garden
11/05/2022,07:14:05,Spectacled Cobra (Naja naja),Sub-Adult,22.667576,88.276905,5,Monber,Chicken/ Duck Pen
09/05/2022,09:26:49,Monocled Cobra (Naja kaouthia),Adult,22.776266,88.309102,4,Piyarapur,Fishing Traps
07/05/2022,22:44:20,Russell's Viper (Daboia russelii),Sub-Adult,22.732712,88.255883,5,Begampur,Courtyard
07/05/2022,09:33:32,Common Rat Snake (Ptyas mucosa),Adult,22.77521,88.175689,4,Sripatipur,Store Room
30/04/2022,20:17:09,Checkered Keelback (Fowlea piscator),Adult,22.829582,88.176033,7,Bargachia,Bedroom
29/04/2022,12:51:11,Red Sand Boa (Eryx Johnii),Adult,22.565968,88.311379,5,Shibpur,Courtyard
28/04/2022,23:58:21,Spectacled Cobra (Naja naja),Adult,22.836539,87.977604,6,Champadanga,Bedroom
27/04/2022,22:29:41,Common Krait (Bungarus caeruleus),Sub-Adult,22.726703,88.208283,2,Jangalpara,Courtyard
24/04/2022,20:29:26,Russell's Viper (Daboia russelii),Adult,22.73277,88.255874,4,Begampur,Backyard/ Front Garden
22/04/2022,13:15:36,Spectacled Cobra (Naja naja),Adult,22.721114,88.247045,4,Baksa,Pond
21/04/2022,13:16:24,Spectacled Cobra (Naja naja),Adult,23.068903,88.143803,3,Barul,Backyard/ Front Garden
21/04/2022,11:38:14,Spectacled Cobra (Naja naja),Sub-Adult,22.731663,88.228596,4,Khoragarh,Store Room
