Date,Max Temp,Min Temp,Avg Rain
15/01/2020,,12.4,0
16/01/2020,,12.9,0
17/01/2020,,14.4,0
18/01/2020,,14.4,0
19/01/2020,,14.9,0
20/01/2020,,15.9,0
21/01/2020,,11.4,0
22/01/2020,,11.4,0
23/01/2020,,14.4,0
24/01/2020,,9.9,0
25/01/2020,,9.9,0
26/01/2020,,10.4,0
27/01/2020,,10.4,0
28/01/2020,,12.4,0
29/01/2020,,16.9,7.4
30/01/2020,,18.4,0
31/01/2020,,14.9,0
01/02/2020,,11.9,0
02/02/2020,,11.9,0
03/02/2020,,10.4,0
04/02/2020,,10.4,0
05/02/2020,,14.9,0
06/02/2020,,13.9,0
07/02/2020,,13.9,0
08/02/2020,,15.4,0
09/02/2020,,14.9,0
10/02/2020,,12.4,0
11/02/2020,,12.9,0
12/02/2020,,12.4,0
13/02/2020,,11.9,0
14/02/2020,,12.4,0
15/02/2020,,14.9,0
16/02/2020,,15.4,0
17/02/2020,,14.9,0
18/02/2020,,15.9,0
19/02/2020,,16.9,0
20/02/2020,,18.4,0
21/02/2020,,18.9,0
22/02/2020,,16.9,0
23/02/2020,,17.9,0
24/02/2020,,17.9,0
25/02/2020,,16.9,0
26/02/2020,,15.4,3.2
27/02/2020,,17.4,0
28/02/2020,,17.9,0
29/02/2020,,15.9,0
01/03/2020,,17.4,0
02/03/2020,,18.9,0
03/03/2020,,20.4,0
04/03/2020,,18.9,24
05/03/2020,,17.9,0
06/03/2020,,19.9,0
07/03/2020,,18.9,24.6
08/03/2020,,18.4,0
09/03/2020,,20.4,0
10/03/2020,,17.4,0
11/03/2020,,19.9,0
12/03/2020,,21.4,0
13/03/2020,,19.9,0
14/03/2020,,21.9,0
15/03/2020,,22.4,0
16/03/2020,,18.4,0
17/03/2020,,21.4,0
18/03/2020,,21.9,0
19/03/2020,,21.4,0
20/03/2020,,19.9,0
23/03/2020,,17.9,0
24/03/2020,,20.9,0
26/03/2020,,20.9,0
31/03/2020,,21.9,0
01/04/2020,,22.4,0
04/04/2020,,22.9,0
05/04/2020,,20.9,0
06/04/2020,,21.9,0
07/04/2020,,23.9,0
08/04/2020,,21.9,0
29/04/2020,,,0
30/04/2020,,24.4,0
01/05/2020,,23.9,0
02/05/2020,,20.9,0
03/05/2020,,23.9,0
04/05/2020,,24.4,0
05/05/2020,,24.9,0
06/05/2020,,19.9,9.6
07/05/2020,,23.9,0
08/05/2020,,20.9,4.4
09/05/2020,,25.9,0
10/05/2020,,25.4,0
11/05/2020,,20.9,17.6
12/05/2020,,26.4,0
13/05/2020,,23.4,4
14/05/2020,,26.9,0
15/05/2020,,27.4,0
16/05/2020,,27.9,0
17/05/2020,,26.9,0
18/05/2020,,26.9,0
19/05/2020,,28.4,0
20/05/2020,,,14
21/05/2020,,22.4,143.8
22/05/2020,,22.4,0
23/05/2020,,26.9,0
24/05/2020,,27.9,0
25/05/2020,,28.4,0
26/05/2020,,27.9,0
27/05/2020,,27.9,0
28/05/2020,,20.9,12.4
29/05/2020,,23.9,0
30/05/2020,,20.4,0
31/05/2020,,21.9,10.4
01/06/2020,,22.4,0
02/06/2020,,24.9,30.4
03/06/2020,,22.9,26.4
04/06/2020,,27.4,0
05/06/2020,,24.9,0
06/06/2020,,27.4,0
07/06/2020,,27.9,0
08/06/2020,,27.4,0
09/06/2020,,25.9,0
10/06/2020,,25.9,0
11/06/2020,,24.9,12.4
12/06/2020,,26.4,14.8
13/06/2020,,26.4,15.4
14/06/2020,,26.4,4.8
15/06/2020,,26.4,4
16/06/2020,,24.9,16.6
17/06/2020,,24.9,12.8
18/06/2020,,26.4,4.2
19/06/2020,,26.4,0
20/06/2020,,27.4,0
21/06/2020,,26.4,2.2
22/06/2020,,25.4,6.2
23/06/2020,,26.8,2.2
24/06/2020,,28.5,0
25/06/2020,,27.9,0
26/06/2020,,24.4,18.2
27/06/2020,,26.9,0
28/06/2020,,23.9,12.2
29/06/2020,,24.9,14.6
30/06/2020,,26.9,0
01/07/2020,,,2.2
02/07/2020,,27.9,0
03/07/2020,,28.4,0
04/07/2020,,27.9,0
05/07/2020,,27.4,4
06/07/2020,,25.9,12.2
07/07/2020,,25.9,18.2
08/07/2020,,25.4,10.6
09/07/2020,,26.4,4
10/07/2020,,25.4,18
11/07/2020,,25.4,4.2
12/07/2020,,24.9,0
13/07/2020,,25.9,0
14/07/2020,,25.4,4
15/07/2020,,24.9,10.6
16/07/2020,,26.9,8.8
17/07/2020,,25.9,6.2
18/07/2020,,27.4,10.2
19/07/2020,,27.4,0
20/07/2020,,25.9,10.2
21/07/2020,,25.1,12.6
22/07/2020,,23.9,98.2
23/07/2020,,23.9,21.2
24/07/2020,,23.9,12.4
25/07/2020,,24.9,0
26/07/2020,,27.4,0
27/07/2020,,27.9,0
28/07/2020,,24.9,17.6
29/07/2020,,24.9,30.2
30/07/2020,,25.9,9.8
31/07/2020,,27.4,0
01/08/2020,,28.4,0
02/08/2020,,29.9,0
03/08/2020,,28.9,0
04/08/2020,,28.4,0
05/08/2020,,24.9,48.8
06/08/2020,31.4,26.4,4.4
07/08/2020,31.9,25.4,44.6
08/08/2020,31.9,25.9,0
09/08/2020,33.9,27.4,0
10/08/2020,34.4,26.9,0
11/08/2020,32.9,26.4,0
12/08/2020,34.9,28.9,0
13/08/2020,33.9,26.9,8
14/08/2020,34.9,27.9,0
15/08/2020,34.4,25.6,0
16/08/2020,32.9,26.9,21.8
17/08/2020,33.9,26.4,28.6
18/08/2020,30.9,27.4,0
19/08/2020,33.4,26.9,2.8
20/08/2020,34.9,25.9,25
21/08/2020,32.9,25.9,16.4
22/08/2020,29.9,25.9,25.6
23/08/2020,33.9,25.4,38.2
24/08/2020,32.9,25.4,22.2
25/08/2020,34.9,25.9,29.4
26/08/2020,34.9,26.4,0
27/08/2020,33.9,23.9,48.8
28/08/2020,28.4,26.4,4
29/08/2020,31.9,25.9,0
30/08/2020,34.9,28.4,0
31/08/2020,35.4,27.9,0
01/09/2020,35.4,27.9,5.8
02/09/2020,27.4,24.4,10.8
03/09/2020,33.9,26.4,0
04/09/2020,34.9,27.4,0
05/09/2020,33.9,25.9,0
06/09/2020,35.4,28.4,0
07/09/2020,33.9,27.9,0
08/09/2020,34.9,28.4,0
09/09/2020,34.9,28.4,0
10/09/2020,35.4,28.4,6.6
11/09/2020,34.4,27.4,0
12/09/2020,32.9,26.4,2.2
13/09/2020,,28.4,0
14/09/2020,,26.4,0
15/09/2020,,26.4,0
16/09/2020,33.9,27.4,0
17/09/2020,33.4,26.4,0
18/09/2020,33.9,25.4,0
19/09/2020,35.9,,0
20/09/2020,35.9,26.9,13.6
21/09/2020,30.9,25.4,12
23/09/2020,31.9,24.9,12.4
24/09/2020,29.9,26.9,12
25/09/2020,32.9,26.4,0
26/09/2020,31.4,26.9,0
27/09/2020,32.4,25.9,0
28/09/2020,35.9,26.9,0
29/09/2020,34.9,26.9,0
30/09/2020,36.9,25.4,0
01/10/2020,34.4,26.4,6.2
02/10/2020,31.9,25.9,0
03/10/2020,31.9,25.9,0
04/10/2020,32.9,24.9,0
05/10/2020,32.9,26.9,0
06/10/2020,32.4,26.4,0
07/10/2020,31.9,27.9,0
08/10/2020,33.4,26.9,6.2
09/10/2020,34.4,26.9,4.2
10/10/2020,35.4,25.9,22
12/10/2020,,,2.2
13/10/2020,,24.9,0
14/10/2020,,26.9,0
15/10/2020,33.9,24.9,0
16/10/2020,34.4,24.9,0
17/10/2020,34.9,27.9,0
18/10/2020,37.9,27.4,0
19/10/2020,35.9,27.9,0
20/10/2020,36.9,24.9,0
21/10/2020,36.4,27.4,0
22/10/2020,33.1,26.4,0
23/10/2020,33.9,23.9,6
24/10/2020,27.9,25.4,0
25/10/2020,37.4,24.4,0
26/10/2020,32.4,23.9,0
27/10/2020,32.9,22.4,0
28/10/2020,32.9,22.4,0
29/10/2020,31.9,23.4,0
30/10/2020,32.9,23.4,0
31/10/2020,32.9,22.9,0
01/11/2020,32.9,24.9,0
